Country/Region,Deaths,GDP,Population
Afghanistan,1269,19101353833,34656032
Albania,144,15278077447,2876101
Algeria,1163,1.69988E+11,40606052
Andorra,52,3154057987,77281
Angola,41,94635415870,28813463
Antigua and Barbuda,3,1727759259,100963
Argentina,3059,4.49663E+11,43847430
Armenia,711,13672802158,2924816
Australia,167,1.39268E+12,24127159
Austria,713,4.46315E+11,8747358
Azerbaijan,423,48047647059,9762274
"Bahamas, The",11,12827000000,391232
Bahrain,141,38574069149,1425171
Bangladesh,2965,3.02571E+11,162951560
Barbados,7,5209000000,284996
Belarus,538,63080457023,9507120
Belgium,9822,5.29607E+11,11348159
Belize,2,1879613600,366954
Benin,35,14390709095,10872298
Bolivia,2647,40895322865,10887882
Bosnia and Herzegovina,294,20047848435,3516816
Botswana,2,18340510789,2250260
Brazil,87618,1.83976E+12,207652865
Brunei Darussalam,3,13469422941,423196
Bulgaria,347,67927179737,7127822
Burkina Faso,53,15745810235,18646433
Burundi,1,3012334882,10524117
Cabo Verde,22,1981845741,539560
Cambodia,0,27089389787,15762370
Cameroon,391,38760467033,23439189
Canada,8944,1.73643E+12,36286425
Central African Republic,59,2220307369,4594621
Chad,75,11314951343,14452543
Chile,9187,2.82318E+11,17909754
China,4656,1.43429E+13,1378665000
Colombia,8777,3.23803E+11,48653419
Comoros,7,1185728677,795601
"Congo, Rep.",54,10820591131,5125821
"Congo, Dem. Rep.",208,47319624204,78736153
Costa Rica,115,61773944174,4857274
Cote d'Ivoire,96,58792205642,23695919
Croatia,139,60415553039,4170600
Cyprus,19,24564647935,1170125
Czech Republic,373,2.46489E+11,10561633
Denmark,613,3.48078E+11,5731118
Djibouti,58,3318716359,942333
Dominica,0,596033333.3,73543
Dominican Republic,1083,88941298258,10648791
Ecuador,5532,1.07436E+11,16385068
"Egypt, Arab Rep.",4652,3.03175E+11,95688681
El Salvador,408,27022640000,6344722
Equatorial Guinea,51,11026774945,1221490
Estonia,69,31386949981,1316481
Ethiopia,228,96107662398,102403196
Fiji,0,5535548972,898760
Finland,329,2.68761E+11,5495096
France,30212,2.71552E+12,66896109
Gabon,49,16657960228,1979786
"Gambia, The",8,1763819048,2038501
Georgia,16,17743195770,3719300
Germany,9125,3.84563E+12,82667685
Ghana,168,66983634224,28206728
Greece,202,2.09853E+11,10746740
Grenada,0,1228170370,107317
Guatemala,1761,76710385880,16582469
Guinea,45,13590281809,12395924
Guinea-Bissau,26,1340389411,1815698
Guyana,20,4280443645,773303
Haiti,158,8498981821,10847334
Honduras,1166,25095395475,9112867
Hungary,596,1.60967E+11,9817958
Iceland,10,24188035739,334252
India,33408,2.87514E+12,1324171354
Indonesia,4838,1.11919E+12,261115456
Iraq,4458,2.34094E+11,37202572
Ireland,1764,3.88699E+11,4773095
Israel,474,3.95099E+11,8547100
Italy,35112,2.00124E+12,60600590
Jamaica,10,16458071068,2881355
Japan,998,5.08177E+12,126994511
Jordan,11,43743661972,9455802
Kazakhstan,585,1.80162E+11,17797032
Kenya,285,95503088538,48461567
Kosovo,185,7926108374,1816200
Kuwait,438,1.34761E+11,4052584
Kyrgyz Republic,1301,8454619608,6082700
Lao PDR,0,18173839128,6758353
Latvia,31,34117202555,1960424
Lebanon,51,53367042272,6006668
Lesotho,12,2460072444,2203821
Liberia,72,3070518100,4613823
Libya,64,52076250948,6293253
Lithuania,80,54219315600,2872298
Luxembourg,112,71104919108,582972
Madagascar,91,14083906357,24894551
Malawi,99,7666704427,18091575
Malaysia,124,3.64702E+11,31187265
Maldives,15,5729248472,417492
Mali,124,17510141171,17994837
Malta,9,14786156563,436947
Mauritania,156,7593752450,4301018
Mauritius,10,14180444557,1263473
Mexico,44022,1.25829E+12,127540423
Moldova,748,11955435457,3552000
Mongolia,0,13852850259,3027398
Montenegro,45,5494736901,622781
Morocco,316,1.18725E+11,35276786
Mozambique,11,14934159926,28829476
Namibia,8,12366527719,2479713
Nepal,48,30641380604,28982771
Netherlands,6160,9.0907E+11,17018408
New Zealand,22,2.06929E+11,4692700
Nicaragua,108,12520915291,6149928
Niger,69,12928145120,20672987
Nigeria,860,4.4812E+11,185989640
North Macedonia,466,12694823394,2081206
Norway,255,4.03336E+11,5232929
Oman,393,76983094928,4424762
Pakistan,5842,2.78222E+11,193203476
Panama,1322,66800800000,4034119
Papua New Guinea,0,24969611435,8084991
Paraguay,43,38145288940,6725308
Peru,18418,2.26848E+11,31773839
Philippines,1945,3.76796E+11,103320222
Poland,1676,5.92164E+11,37948016
Portugal,1719,2.37686E+11,10324611
